"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 29, 2016","99.652","98.680","99.880","98.600","53.80K","1.13%"
"Jan 28, 2016","98.539","99.005","99.150","98.450","34.54K","-0.42%"
"Jan 27, 2016","98.954","99.130","99.230","98.745","30.07K","-0.18%"
"Jan 26, 2016","99.133","99.385","99.505","99.065","19.42K","-0.27%"
"Jan 25, 2016","99.406","99.640","99.660","99.280","16.69K","-0.25%"
"Jan 22, 2016","99.651","99.280","99.675","99.190","26.44K","0.53%"
"Jan 21, 2016","99.128","99.270","99.950","98.985","68.45K","-0.05%"
"Jan 20, 2016","99.174","99.075","99.260","98.680","33.76K","0.14%"
"Jan 19, 2016","99.036","99.255","99.395","98.920","24.18K","0.02%"
"Jan 18, 2016","99.020","99.020","99.285","98.925","9.91K","0.00%"
"Jan 15, 2016","99.020","99.120","99.195","98.415","46.07K","-0.14%"
"Jan 14, 2016","99.155","98.915","99.330","98.650","38.49K","0.18%"
"Jan 13, 2016","98.978","99.105","99.395","98.905","27.27K","-0.05%"
"Jan 12, 2016","99.024","98.945","99.340","98.635","27.24K","0.24%"
"Jan 11, 2016","98.784","98.335","98.970","98.140","32.09K","0.19%"
"Jan 08, 2016","98.599","98.420","99.295","98.375","40.22K","0.33%"
"Jan 07, 2016","98.272","99.325","99.385","98.240","39.14K","-1.00%"
"Jan 06, 2016","99.266","99.515","99.750","99.195","29.73K","-0.23%"
"Jan 05, 2016","99.496","98.910","99.730","98.855","38.36K","0.53%"
"Jan 04, 2016","98.968","98.760","99.300","98.110","39.01K","0.23%"
"Dec 31, 2015","98.745","98.260","98.845","98.255","18.78K","0.40%"
"Dec 30, 2015","98.354","98.305","98.495","98.190","9.83K","0.18%"
"Dec 29, 2015","98.173","97.925","98.475","97.840","17.18K","0.23%"
"Dec 28, 2015","97.950","97.970","98.055","97.835","10.77K","-0.07%"
"Dec 24, 2015","98.016","98.390","98.390","97.935","9.15K","-0.36%"
"Dec 23, 2015","98.367","98.225","98.665","98.210","16.79K","0.13%"
"Dec 22, 2015","98.244","98.500","98.515","98.005","17.75K","-0.13%"
"Dec 21, 2015","98.369","98.780","98.855","98.295","20.93K","-0.37%"
"Dec 18, 2015","98.731","99.050","99.290","98.665","29.69K","-0.59%"
